sezon,data,godz,cena_pln_mwh
Zima,2025-01-21,8,877.64
Zima,2025-01-21,9,754.02
Zima,2025-01-21,10,611.83
Zima,2025-01-21,11,606.93
Zima,2025-01-21,12,623.05
Zima,2025-01-21,13,633.12
Zima,2025-01-21,14,666.81
Zima,2025-01-21,15,799.21
Zima,2025-01-21,16,908.84
Zima,2025-01-21,17,988.24
Zima,2025-01-21,18,926.56
Zima,2025-01-21,19,891.87
Zima,2025-01-21,20,740.86
Zima,2025-01-21,21,563.57
Zima,2025-01-21,22,583.81
Zima,2025-01-21,23,534.15
Zima,2025-01-22,0,539.18
Zima,2025-01-22,1,520.53
Zima,2025-01-22,2,513.46
Zima,2025-01-22,3,509.23
Zima,2025-01-22,4,512.72
Zima,2025-01-22,5,536.35
Zima,2025-01-22,6,637.7
Zima,2025-01-22,7,844.92
Zima,2025-01-22,8,944.0
Zima,2025-01-22,9,723.23
Zima,2025-01-22,10,551.38
Zima,2025-01-22,11,529.36
Zima,2025-01-22,12,525.31
Zima,2025-01-22,13,545.49
Zima,2025-01-22,14,544.92
Zima,2025-01-22,15,737.56
Zima,2025-01-22,16,747.71
Zima,2025-01-22,17,668.53
Zima,2025-01-22,18,592.84
Zima,2025-01-22,19,604.24
Zima,2025-01-22,20,533.99
Zima,2025-01-22,21,493.87
Zima,2025-01-22,22,486.58
Zima,2025-01-22,23,451.07
Zima,2025-01-23,0,461.64
Zima,2025-01-23,1,432.66
Zima,2025-01-23,2,430.6
Zima,2025-01-23,3,413.42
Zima,2025-01-23,4,414.58
Zima,2025-01-23,5,433.15
Zima,2025-01-23,6,497.51
Zima,2025-01-23,7,575.65
Zima,2025-01-23,8,621.82
Zima,2025-01-23,9,573.02
Zima,2025-01-23,10,494.82
Zima,2025-01-23,11,473.06
Zima,2025-01-23,12,445.68
Zima,2025-01-23,13,461.83
Zima,2025-01-23,14,472.67
Zima,2025-01-23,15,480.74
Zima,2025-01-23,16,499.17
Zima,2025-01-23,17,517.05
Zima,2025-01-23,18,506.31
Zima,2025-01-23,19,486.7
Zima,2025-01-23,20,450.75
Zima,2025-01-23,21,398.94
Zima,2025-01-23,22,402.26
Zima,2025-01-23,23,397.88
Zima,2025-01-24,0,385.91
Zima,2025-01-24,1,382.03
Zima,2025-01-24,2,382.19
Zima,2025-01-24,3,387.56
Zima,2025-01-24,4,424.76
Zima,2025-01-24,5,450.76
Zima,2025-01-24,6,506.18
Zima,2025-01-24,7,554.64
Zima,2025-01-24,8,608.25
Zima,2025-01-24,9,581.54
Zima,2025-01-24,10,517.69
Zima,2025-01-24,11,478.01
Zima,2025-01-24,12,462.12
Zima,2025-01-24,13,469.58
Zima,2025-01-24,14,478.75
Zima,2025-01-24,15,529.69
Zima,2025-01-24,16,546.98
Zima,2025-01-24,17,518.71
Zima,2025-01-24,18,449.99
Zima,2025-01-24,19,421.98
Zima,2025-01-24,20,409.37
Zima,2025-01-24,21,348.15
Zima,2025-01-24,22,341.77
Zima,2025-01-24,23,275.75
Zima,2025-01-25,0,331.88
Zima,2025-01-25,1,322.98
Zima,2025-01-25,2,321.5
Zima,2025-01-25,3,320.73
Zima,2025-01-25,4,335.84
Zima,2025-01-25,5,344.15
Zima,2025-01-25,6,367.04
Zima,2025-01-25,7,413.97
Zima,2025-01-25,8,448.02
Zima,2025-01-25,9,443.22
Zima,2025-01-25,10,419.76
Zima,2025-01-25,11,397.01
Zima,2025-01-25,12,385.53
Zima,2025-01-25,13,384.51
Zima,2025-01-25,14,407.19
Zima,2025-01-25,15,466.05
Zima,2025-01-25,16,532.07
Zima,2025-01-25,17,567.6
Zima,2025-01-25,18,584.34
Zima,2025-01-25,19,572.21
Zima,2025-01-25,20,543.96
Zima,2025-01-25,21,519.4
Zima,2025-01-25,22,513.74
Zima,2025-01-25,23,488.84
Zima,2025-01-26,0,512.75
Zima,2025-01-26,1,479.86
Zima,2025-01-26,2,464.76
Zima,2025-01-26,3,451.16
Zima,2025-01-26,4,449.6
Zima,2025-01-26,5,454.0
Zima,2025-01-26,6,469.56
Zima,2025-01-26,7,494.85
Zima,2025-01-26,8,521.35
Zima,2025-01-26,9,502.93
Zima,2025-01-26,10,463.2
Zima,2025-01-26,11,443.62
Zima,2025-01-26,12,425.15
Zima,2025-01-26,13,425.26
Zima,2025-01-26,14,433.93
Zima,2025-01-26,15,475.6
Zima,2025-01-26,16,525.04
Zima,2025-01-26,17,545.91
Zima,2025-01-26,18,529.58
Zima,2025-01-26,19,494.45
Zima,2025-01-26,20,464.52
Zima,2025-01-26,21,421.8
Zima,2025-01-26,22,405.44
Zima,2025-01-26,23,391.57
Zima,2025-01-27,0,288.28
Zima,2025-01-27,1,296.59
Zima,2025-01-27,2,302.93
Zima,2025-01-27,3,308.27
Zima,2025-01-27,4,350.83
Zima,2025-01-27,5,394.12
Zima,2025-01-27,6,474.66
Zima,2025-01-27,7,525.78
Zima,2025-01-27,8,518.92
Zima,2025-01-27,9,441.37
Zima,2025-01-27,10,368.65
Zima,2025-01-27,11,350.24
Zima,2025-01-27,12,348.03
Zima,2025-01-27,13,364.4
Zima,2025-01-27,14,393.14
Zima,2025-01-27,15,474.4
Zima,2025-01-27,16,494.53
Zima,2025-01-27,17,519.55
Zima,2025-01-27,18,506.33
Zima,2025-01-27,19,508.36
Zima,2025-01-27,20,469.35
Zima,2025-01-27,21,396.45
Zima,2025-01-27,22,413.49
Zima,2025-01-27,23,380.97
Zima,2025-01-28,0,345.78
Zima,2025-01-28,1,356.2
Zima,2025-01-28,2,368.86
Zima,2025-01-28,3,404.23
Zima,2025-01-28,4,427.01
Zima,2025-01-28,5,429.88
Zima,2025-01-28,6,517.9
Zima,2025-01-28,7,573.6
Zima,2025-01-28,8,593.25
Zima,2025-01-28,9,546.02
Zima,2025-01-28,10,511.64
Zima,2025-01-28,11,501.42
Zima,2025-01-28,12,495.98
Zima,2025-01-28,13,509.16
Zima,2025-01-28,14,531.85
Zima,2025-01-28,15,591.88
Zima,2025-01-28,16,622.9
Zima,2025-01-28,17,621.83
Zima,2025-01-28,18,590.86
Zima,2025-01-28,19,554.06
Zima,2025-01-28,20,497.65
Zima,2025-01-28,21,408.71
Zima,2025-01-28,22,420.39
Zima,2025-01-28,23,391.29
Zima,2025-01-29,0,361.72
Zima,2025-01-29,1,346.95
Zima,2025-01-29,2,333.16
Zima,2025-01-29,3,332.55
Zima,2025-01-29,4,346.86
Zima,2025-01-29,5,402.3
Zima,2025-01-29,6,496.37
Zima,2025-01-29,7,563.9
Zima,2025-01-29,8,599.34
Zima,2025-01-29,9,529.05
Zima,2025-01-29,10,450.27
Zima,2025-01-29,11,396.15
Zima,2025-01-29,12,371.68
Zima,2025-01-29,13,388.83
Zima,2025-01-29,14,409.69
Zima,2025-01-29,15,477.91
Zima,2025-01-29,16,536.99
Zima,2025-01-29,17,606.3
Zima,2025-01-29,18,601.95
Zima,2025-01-29,19,565.66
Zima,2025-01-29,20,477.63
Zima,2025-01-29,21,423.47
Zima,2025-01-29,22,434.17
Zima,2025-01-29,23,398.03
Zima,2025-01-30,0,405.38
Zima,2025-01-30,1,397.96
Zima,2025-01-30,2,397.63
Zima,2025-01-30,3,401.73
Zima,2025-01-30,4,416.61
Zima,2025-01-30,5,471.44
Zima,2025-01-30,6,573.23
Zima,2025-01-30,7,646.68
Zima,2025-01-30,8,665.76
